ciad,codigoOACI,airport_name,state,city,altitude,latgeopoint,longeopoint,latitude,longitude
AC0001,SBRB,Plácido de Castro,Acre,RIO BRANCO,193.0,-9.8683333,-67.898056,"09°52'06""S","067°53'53""W"
AM0006,SWPI,Parintins,Amazonas,PARINTINS,25.0,-2.6736111,-56.7775,"02°40'25""S","056°46'39""W"
AP0001,SBMQ,Alberto Alcolumbre,Amapá,MACAPÁ,17.0,0.050555556,-51.072222,"00°03'02""N","051°04'20""W"
BA0005,SBVC,Glauber de Andrade Rocha,Bahia,VITÓRIA DA CONQUISTA,894.0,-14.907778,-40.914722,"14°54'28""S","040°54'53""W"
BA0006,SBLE,HORÁCIO DE MATTOS,Bahia,LENÇÓIS,506.0,-12.482222,-41.276944,"12°28'56""S","041°16'37""W"
BA0008,SNVB,Valença,Bahia,VALENÇA,5.0,-13.296389,-38.9925,"13°17'47""S","038°59'33""W"
BA0009,SNGI,Aeródromo de Guanambi,Bahia,GUANAMBI,553.0,-14.208056,-42.746111,"14°12'29""S","042°44'46""W"
BA0016,SNTF,Teixeira de Freitas,Bahia,TEIXEIRA DE FREITAS,105.0,-17.524444,-39.668333,"17°31'28""S","039°40'06""W"
BA0019,SNIC,Irecê,Bahia,IRECÊ,784.0,-11.34,-41.846944,"11°20'24""S","041°50'49""W"
CE0001,SBFZ,Pinto Martins,Ceará,FORTALEZA,25.0,-3.7758333,-38.532222,"03°46'33""S","038°31'56""W"
CE0004,SBAC,Aeroporto Regional de Canoa Quebrada Dragão do Mar,Ceará,ARACATI,36.0,-4.5686111,-37.804722,"04°34'07""S","037°48'17""W"
ES0001,SBVT,Eurico de Aguiar Salles,Espírito Santo,VITÓRIA,3.0,-20.258056,-40.286389,"20°15'29""S","040°17'11""W"
ES0007,SNGA,Guarapari,Espírito Santo,GUARAPARI,9.0,-20.646389,-40.491667,"20°38'47""S","040°29'30""W"
MA0001,SBSL,MARECHAL CUNHA MACHADO,Maranhão,SÃO LUÍS,54.0,-2.5869444,-44.236111,"02°35'13""S","044°14'10""W"
MT0002,SBSI,Presidente João Batista Figueiredo,Mato Grosso,SINOP,374.0,-11.885,-55.586111,"11°53'06""S","055°35'10""W"
PA0004,SBMA,João Corrêa da Rocha,Pará,MARABÁ,109.0,-5.3680556,-49.138056,"05°22'05""S","049°08'17""W"
PB0003,SBKG,Presidente João Suassuna,Paraíba,CAMPINA GRANDE,502.0,-7.2691667,-35.895,"07°16'09""S","035°53'42""W"
MA0002,SBIZ,Prefeito Renato Moreira,,,132.0,-5.5305556,-47.458333,"05°31'50""S","047°27'30""W"
MG0004,SBMK,Mário Ribeiro,Minas Gerais,MONTES CLAROS,668.0,-16.706111,-43.821944,"16°42'22""S","043°49'19""W"
MG0008,SBAX,Romeu Zema,Minas Gerais,ARAXÁ,998.0,-19.563056,-46.960556,"19°33'47""S","046°57'38""W"
